,Japanese,English
0,、,","
1,。,.
2,何,what
3,あ,a
4,あなた,you
5,言,words
6,行,line
7,人,people
8,知,knowledge
9,）,)
10,（,(
11,事,case
12,彼女,she
13,お前,you
14,話,story
15,来,Next
16,分か,minutes
17,者,person
18,聞,Listen
19,死,death
20,時,time
21,ああ,ah
22,殺,murder
23,前,before
24,中,Medium
25,達,reach
26,必要,need
27,あの,that
28,気,air
29,大丈夫,Are you okay
30,」,”
31,自分,myself
32,持,Hold
33,本当,TRUE
34,時間,time
35,我々,we
36,一,one
37,的,target
38,無,
39,ありがとう,thank you
40,家,house
41,会,meeting
42,日,day
43,仕事,work
44,手,hand
45,一緒,together
46,後,rear
47,出来,Done
48,他,others
49,入,Enter
50,電話,phone
51,目,eye
52,様,Mr.
53,分,minutes
54,車,car
55,所,place
56,度,degree
57,同じ,same
58,場所,place
59,問題,problem
60,子供,child
61,愛,love
62,金,gold
63,名前,name
64,子,child
65,信,Faith
66,少し,a bit
67,使,messenger
68,全て,all
69,世界,world
70,教え,lesson
71,通り,street
72,来る,come
73,上,above
74,入れ,Get in
75,人間,human
76,行け,Go
77,今日,today
78,物,thing
79,女,woman
80,呼,call
81,生き,alive
82,あれ,That
83,じゃあ,Well then
84,止め,stop
85,心配,anxiety
86,母,mother
87,関係,relationship
88,外,outside
89,家族,family
90,起き,wake up
91,意味,meaning
92,神,God
93,警察,police
94,最後,last
95,作,Made by
96,次,Next
97,息子,son
98,取,Tori
99,全部,All
100,間,between
101,書,calligraphy
102,捜査,investigation
103,起こ,wake up
104,回,times
105,別,another
106,情報,information
107,理由,reason
108,数,number
109,一人,alone
110,部屋,room
111,人生,life
112,急,suddenly
113,食べ,eat
114,女性,woman
115,続け,continue
116,事件,incident
117,始め,beginning
118,最初,first
119,連絡,contact
120,まあ,oh dear
121,調べ,Investigation
122,下さ,Down
123,楽し,fun
124,殺人,murder
125,下,under
126,万,Ten thousand
127,友達,friend
128,約束,promise
129,二,two
130,結婚,marriage
131,無理,Impossible
132,感じ,feeling
133,得,profit
134,最高,the best
135,計画,plan
136,仲間,fellow
137,先,destination
138,可能,Possible
139,あいつ,That guy
140,あと,After
141,明日,tomorrow
142,変わ,strange
143,聞こえ,I can hear it
144,確認,confirmation
145,命,life
146,着,arrival
147,与え,give
148,全員,Everyone
149,動,motion
150,理解,understanding
151,二人,two people
152,開け,Open
153,友人,friend
154,機,machine
155,不,No
156,あげ,Fried
157,離れ,apart
158,戦,war
159,先生,teacher
160,言え,Say it
161,質問,question
162,置,Place
163,犯人,culprit
164,受け,received
165,感,Feeling
166,伝え,Legend
167,素晴らし,Wonderful
168,ドア,door
169,本,book
170,乗,Squared
171,用,for
172,感謝,thanks
173,正し,Correct
174,言葉,words
175,大,large
176,立,standing
177,写真,photograph
178,説明,explanation
179,博士,doctor
180,強,strength
181,絶対,absolute
