Unnamed: 0.1,Unnamed: 0,Japanese,English
0,0,、,","
1,1,。,.
2,2,何,what
3,3,あ,a
4,4,あなた,you
5,5,言,words
6,6,行,line
7,7,人,people
8,8,知,knowledge
9,9,）,)
10,10,（,(
11,11,事,case
12,12,彼女,she
13,13,お前,you
14,14,話,story
15,15,来,Next
16,16,分か,minutes
17,17,者,person
18,18,聞,Listen
19,19,死,death
20,20,時,time
21,21,ああ,ah
22,22,殺,murder
23,23,前,before
24,24,中,Medium
25,25,達,reach
26,26,必要,need
27,27,あの,that
28,28,気,air
30,30,」,”
31,31,自分,myself
32,32,持,Hold
33,33,本当,TRUE
34,34,時間,time
35,35,我々,we
36,36,一,one
37,37,的,target
38,38,無,
39,39,ありがとう,thank you
40,40,家,house
41,41,会,meeting
42,42,日,day
43,43,仕事,work
44,44,手,hand
45,45,一緒,together
46,46,後,rear
48,48,他,others
49,49,入,Enter
50,50,電話,phone
51,51,目,eye
52,52,様,Mr.
53,53,分,minutes
54,54,車,car
55,55,所,place
56,56,度,degree
57,57,同じ,same
58,58,場所,place
59,59,問題,problem
60,60,子供,child
61,61,愛,love
62,62,金,gold
63,63,名前,name
64,64,子,child
65,65,信,Faith
66,66,少し,a bit
67,67,使,messenger
68,68,全て,all
69,69,世界,world
70,70,教え,lesson
71,71,通り,street
72,72,来る,come
73,73,上,above
74,74,入れ,Get in
75,75,人間,human
76,76,行け,Go
77,77,今日,today
78,78,物,thing
79,79,女,woman
80,80,呼,call
81,81,生き,alive
82,82,あれ,That
83,83,じゃあ,Well then
84,84,止め,stop
85,85,心配,anxiety
86,86,母,mother
87,87,関係,relationship
88,88,外,outside
89,89,家族,family
90,90,起き,wake up
91,91,意味,meaning
92,92,神,God
93,93,警察,police
94,94,最後,last
95,95,作,Made by
96,96,次,Next
97,97,息子,son
98,98,取,Tori
99,99,全部,All
100,100,間,between
101,101,書,calligraphy
102,102,捜査,investigation
103,103,起こ,wake up
104,104,回,times
105,105,別,another
106,106,情報,information
107,107,理由,reason
108,108,数,number
109,109,一人,alone
110,110,部屋,room
111,111,人生,life
112,112,急,suddenly
113,113,食べ,eat
114,114,女性,woman
115,115,続け,continue
116,116,事件,incident
117,117,始め,beginning
118,118,最初,first
119,119,連絡,contact
120,120,まあ,oh dear
121,121,調べ,Investigation
122,122,下さ,Down
123,123,楽し,fun
124,124,殺人,murder
125,125,下,under
126,126,万,Ten thousand
127,127,友達,friend
128,128,約束,promise
129,130,結婚,marriage
130,131,無理,Impossible
131,132,感じ,feeling
132,133,得,profit
133,134,最高,the best
134,135,計画,plan
135,136,仲間,fellow
136,137,先,destination
137,138,可能,Possible
138,139,あいつ,That guy
139,140,あと,After
140,141,明日,tomorrow
141,142,変わ,strange
142,143,聞こえ,I can hear it
143,144,確認,confirmation
144,145,命,life
145,146,着,arrival
146,147,与え,give
147,148,全員,Everyone
148,149,動,motion
149,150,理解,understanding
150,151,二人,two people
151,152,開け,Open
152,153,友人,friend
153,154,機,machine
154,155,不,No
155,156,あげ,Fried
156,157,離れ,apart
157,158,戦,war
159,160,言え,Say it
160,161,質問,question
161,162,置,Place
162,163,犯人,culprit
163,164,受け,received
164,165,感,Feeling
165,166,伝え,Legend
166,167,素晴らし,Wonderful
167,168,ドア,door
168,169,本,book
169,170,乗,Squared
170,171,用,for
171,172,感謝,thanks
172,173,正し,Correct
173,174,言葉,words
174,175,大,large
175,176,立,standing
176,177,写真,photograph
177,178,説明,explanation
179,180,強,strength
180,181,絶対,absolute
181,182,国,country
182,183,向か,Across the street
183,184,ある,be
184,185,野郎,Bastard
186,187,一番,number one
187,188,重要,important
188,189,状況,situation
189,190,元気,fine
191,192,変え,change
192,193,十分,sufficient
193,194,週間,week
194,195,やあ,Hi
195,196,父親,father
196,197,間違い,error
197,198,了解,roger that
198,199,相手,partner
199,200,員,member
200,201,声,voice
201,202,会え,See you
202,203,音,sound
203,204,消え,vanish
204,205,会社,company
205,206,簡単,easy
206,207,選,Selection
207,208,残念,disappointing
209,210,自身,himself
210,211,等,etc.
211,212,一体,Together
212,213,人々,people
213,214,報告,report
214,215,読,reading
215,216,過ぎ,too much
216,217,通,General
217,218,アメリカ,America
218,219,元,Former
219,220,命令,instruction
220,221,高,high
221,222,体,body
222,223,大統領,president
223,224,月,month
224,225,警官,police officer
225,226,語,word
226,227,学校,school
227,228,対,versus
228,229,決め,decision
229,230,真実,truth
230,231,初めて,first time
231,232,口,mouth
232,233,大変,hard
233,234,要,Essential
234,235,変,strange
235,236,学,studies
236,237,武器,weapon
237,238,店,shop
238,239,母親,mother
239,241,気持ち,feeling
240,242,間違,mistake
241,243,運,luck
242,244,記録,record
243,245,光,light
244,246,手伝,help
245,247,深,deep
246,248,落ち着,calm down
247,249,存在,existence
248,250,実,fruit
249,251,役,role
250,252,病院,hospital
251,253,住,residence
252,254,責任,responsibility
253,255,あっ,Ah
254,256,普通,usually
255,257,大きな,big
256,258,監視,monitoring
257,259,協力,cooperation
258,260,多分,perhaps
259,261,実際,actual
260,262,足,feet
261,263,地球,earth
262,264,生活,life
263,265,任せ,leave to
264,266,気分,feeling
265,267,解決,solution
266,268,結果,result
267,269,調査,investigation
268,270,研究,the study
269,271,何処,where
270,272,発見,discovery
271,273,場,place
272,274,大事,important
273,275,止ま,stop
274,276,大き,big
275,277,生,raw
277,279,運転,driving
278,280,ヶ月,months
279,281,多,Many
280,282,１人,1 person
281,283,番号,number
282,284,状態,situation
283,285,来い,come
284,286,開,Open
285,287,上手,good
286,288,済,done
287,289,場合,case
288,290,刑務,prison sentence
289,291,以外,other than
290,292,朝,morning
291,293,飛行,flight
292,294,あまり,not much
293,295,近く,near
294,296,後ろ,behind
295,297,目的,the purpose
296,298,歌,song
297,299,面白,Interesting
298,300,弁護,defense
299,301,客,customer
300,302,特別,special
301,303,昨日,yesterday
302,304,少な,little
303,305,認め,recognition
304,306,死体,cadaver
305,307,医者,doctor
306,308,装置,Device
307,309,共,jointly
308,310,唯一,only
309,311,あんな,That kind of thing
310,312,不明,not clear
311,313,限り,as long as
312,314,信用,credit
313,315,美し,beauty
314,316,用意,preparation
315,317,話せ,talk
316,318,移動,move
317,319,映画,movie
318,320,美咲,Misaki
319,321,取引,transaction
320,322,最近,recently
321,323,現場,On-site
322,324,事故,accident
323,325,連中,guys
324,326,過去,past
325,327,全く,absolutely
326,328,選択,choice
327,329,完全,complete
328,330,信じ,believe
329,331,信頼,trust
330,332,町,town
331,333,何故,why
332,334,始ま,beginning
333,335,精神,spirit
334,336,付け,attached
335,337,あら,fault
336,338,女の子,girl
337,339,気づ,Notice
339,341,頑張,Do your best
340,342,人,people
341,343,素敵,nice
342,344,身,body
343,345,価値,value
344,346,有,Yes
345,347,三,three
346,348,最も,most
347,349,両親,parents
348,350,人物,person
349,351,生まれ,born
350,352,警備,security
351,353,以前,Previously
352,354,無事,Safely
353,355,聞け,Listen
354,356,銀行,bank
355,357,裁判,trial
356,358,降り,descending
357,359,大学,university
358,360,州,state
359,361,今回,this time
360,362,空,sky
361,363,経験,experience
362,364,本物,genuine
363,365,部,Department
364,366,化,transformation
365,367,未来,future
366,369,年間,yearly
367,370,無駄,waste
368,371,島,island
370,373,風,wind
371,374,結構,fine
373,376,予定,schedule
374,377,点,point
375,378,人,people
376,379,許可,permission
377,380,勇気,courage
378,381,最悪,worst
379,382,全然,not at all
380,383,任務,mission
381,384,日本,Japan
382,385,作戦,strategy
383,386,成功,success
384,387,進,Susumu
385,388,品,Goods
386,389,消,Disappear
387,390,小さな,small
388,391,科学,science
389,392,放,release
390,393,向こう,Beyond
391,394,事実,fact
392,395,食,food
393,396,関,Seki
394,397,戦い,fight
395,398,少年,boy
396,399,爆発,explosion
397,400,現実,reality
398,401,保護,protection
399,402,地下,underground
400,403,隊,squad
401,404,地,earth
402,405,別れ,Farewell
403,406,時代,era
404,407,使え,Use it
405,408,組織,organization
406,409,式,formula
407,410,落ち着け,Calm down
408,411,動物,animal
409,412,無し,none
410,413,下が,The bottom is
411,414,技術,technology
412,415,個人,individual
413,416,期待,expectations
415,418,線,line
416,419,局,station
417,420,利用,use
418,421,主人,master
419,422,館,Hall
420,423,毎日,every day
421,424,付,With
422,425,当然,Naturally
423,426,患者,patient
424,427,全,all
425,428,今朝,this morning
427,430,馬,horse
428,431,あー,ah
429,432,あたし,I
430,433,立て,standing
431,434,地獄,hell
433,436,続,Continued
434,437,陛下,His Majesty
435,438,小さ,small
436,439,火,fire
437,440,平気,I'm fine
438,441,世話,care
439,442,理子,Riko
440,443,検査,inspection
